Rainfall_mm,Temperature_C,Humidity_%,Soil_Type,Crop_Type,Fertilizer_Used,Irrigation_Status,Region,Crop_Yield_tons_per_hectare
856.3,21.16,53.12,Silty,Sugarcane,Urea,No,South,74.431
852.7,30.34,53.36,Loamy,Cotton,DAP,Yes,South,2.998
565.27,24.03,47.84,Silty,Maize,NPK,Yes,Central,7.407
599.71,24.43,57.94,Silty,Cotton,DAP,Yes,Central,2.551
1048.52,33.24,65.55,Silty,Cotton,Urea,No,East,1.941
1047.54,14.61,45.18,Loamy,Rice,NPK,No,Central,4.726
1009.25,20.87,48.33,Loamy,Maize,None,Yes,South,5.157
650.18,27.23,46.38,Peaty,Maize,Compost,Yes,Central,5.802
836.29,26.98,53.01,Sandy,Maize,Urea,No,South,4.77
450.42,18.49,52.46,Sandy,Cotton,DAP,No,North,1.821
858.98,24.53,52.87,Peaty,Sugarcane,NPK,Yes,Central,80.687
863.51,31.79,60.62,Peaty,Maize,Urea,No,South,4.43
718.14,21.19,67.13,Silty,Soybean,Compost,Yes,West,3.759
964.49,32.4,54.63,Peaty,Cotton,DAP,Yes,East,1.903
1217.71,23.42,57.03,Clay,Rice,Urea,Yes,South,5.004
619.87,17.64,43.38,Sandy,Sugarcane,NPK,Yes,Central,65.433
594.5,31.1,43.61,Peaty,Soybean,NPK,Yes,Central,3.137
477.74,28.25,53.99,Clay,Soybean,NPK,No,North,3.16
713.6,19.67,60.34,Clay,Rice,Urea,Yes,West,4.529
1115.2,24.29,67.32,Clay,Sugarcane,Urea,Yes,South,69.351
713.93,35.62,45.88,Clay,Cotton,Compost,Yes,West,1.963
655.99,30.29,50.05,Silty,Wheat,Compost,No,North,3.438
1085.14,32.58,58.66,Clay,Sugarcane,Urea,No,East,59.969
400.25,21.31,61.74,Silty,Rice,Urea,Yes,West,5.406
547.58,33.13,53.32,Silty,Soybean,Urea,Yes,North,2.924
852.44,19.88,57.93,Clay,Cotton,None,Yes,South,2.021
978.82,20.04,61.8,Sandy,Sugarcane,NPK,Yes,East,69.969
576.57,31.18,48.1,Clay,Wheat,None,Yes,Central,2.675
680.25,20.34,56.83,Clay,Wheat,Urea,Yes,North,3.37
707.27,34.59,50.32,Clay,Maize,None,No,Central,4.273
1006.36,20.74,71.55,Sandy,Maize,Urea,Yes,East,5.183
527.92,22.14,43.59,Loamy,Rice,Compost,Yes,North,4.899
455.6,32.77,50.62,Loamy,Sugarcane,NPK,Yes,North,83.088
732.69,23.9,60.02,Silty,Sugarcane,DAP,No,East,78.927
940.75,30.98,58.18,Silty,Soybean,DAP,Yes,South,3.643
567.04,21.43,52.36,Sandy,Soybean,Urea,Yes,North,2.907
1080.14,25.62,59.99,Peaty,Soybean,Urea,No,East,2.626
660.85,30.7,45.91,Loamy,Maize,Compost,Yes,West,6.991
538.11,22.77,64.63,Unknown,Sugarcane,NPK,Yes,Central,100.134
430.78,32.11,45.75,Loamy,Sugarcane,NPK,Yes,North,84.899
850.92,25.2,46.57,Sandy,Wheat,Compost,No,West,2.442
597.84,27.6,46.17,Sandy,Maize,Compost,Yes,North,4.687
1020.48,21.99,71.04,Peaty,Cotton,Urea,No,South,2.188
1137.84,23.15,80.97,Peaty,Maize,Urea,Yes,East,4.054
402.44,22.78,51.02,Sandy,Cotton,None,Yes,North,1.569
948.92,23.96,65.3,Silty,Wheat,Urea,No,East,4.133
652.15,34.73,67.81,Loamy,Rice,NPK,Yes,North,5.336
777.67,32.6,47.87,Clay,Sugarcane,Urea,Yes,South,65.472
838.76,29.26,59.91,Peaty,Wheat,NPK,Yes,South,3.792
572.09,23.71,66.06,Clay,Sugarcane,NPK,No,West,74.107
789.28,22.79,62.5,Silty,Soybean,Urea,Yes,South,3.719
980.48,22.15,57.43,Peaty,Rice,DAP,Yes,East,5.202
827.13,25.48,59.44,Clay,Rice,NPK,Yes,South,6.205
490.22,28.4,64.71,Silty,Wheat,DAP,Yes,North,4.166
940.27,30.07,60.02,Loamy,Rice,Urea,Yes,South,5.332
1149.71,27.07,55.6,Silty,Cotton,NPK,Yes,East,2.507
664.69,29.83,58.19,Peaty,Rice,Urea,Yes,North,5.696
647.8399999999999,31.68,46.3,Sandy,Sugarcane,NPK,No,West,67.979
895.91,25.14,52.04,Loamy,Sugarcane,Compost,Yes,West,78.993
748.85,32.49,51.26,Clay,Sugarcane,Urea,Yes,West,66.577
670.68,22.08,53.26,Peaty,Sugarcane,NPK,No,North,76.691
625.54,29.93,45.75,Sandy,Cotton,Compost,No,West,1.764
842.01,27.16,60.13,Silty,Maize,DAP,No,South,7.429
606.4,27.88,49.35,Sandy,Soybean,DAP,Yes,North,2.944
685.93,25.16,60.27,Peaty,Wheat,DAP,No,North,3.525
576.17,33.24,51.85,Peaty,Sugarcane,DAP,No,North,64.863
605.03,23.98,50.87,Sandy,Rice,Urea,Yes,Central,4.595
807.46,33.94,55.23,Silty,Sugarcane,DAP,Yes,East,75.044
462.77,33.97,60.93,Sandy,Rice,DAP,Yes,Central,3.758
706.38,29.26,61.19,Peaty,Soybean,NPK,No,Central,3.014
822.39,25.44,45.02,Peaty,Soybean,NPK,Yes,Central,3.305
654.54,22.81,49.1,Clay,Soybean,Compost,Yes,East,3.311
608.88,17.03,52.95,Clay,Rice,NPK,Yes,Central,6.24
534.41,29.7,33.28,Loamy,Sugarcane,NPK,No,West,77.51
606.89,21.44,55.57,Peaty,Soybean,Compost,Yes,North,2.79
449.98,22.14,42.21,Clay,Cotton,Compost,No,North,1.681
715.43,29.76,48.43,Sandy,Rice,DAP,No,South,4.696
558.65,24.85,45.56,Silty,Rice,NPK,Yes,West,5.847
885.15,28.09,67.77,Sandy,Sugarcane,Urea,Yes,East,76.204
551.95,29.3,55.91,Silty,Rice,DAP,Yes,North,6.12
667.78,35.02,49.75,Clay,Rice,NPK,No,Central,4.478
966.37,27.99,54.83,Loamy,Soybean,Urea,No,South,3.033
899.06,24.25,59.3,Sandy,Sugarcane,Urea,No,South,68.29
702.25,26.62,66.81,Sandy,Soybean,Compost,Yes,North,3.051
582.81,24.11,49.6,Sandy,Soybean,Compost,Yes,West,2.899
993.02,36.4,44.96,Silty,Sugarcane,NPK,Yes,South,80.945
597.68,28.86,53.3,Clay,Wheat,NPK,Yes,North,3.662
605.69,29.92,54.3,Sandy,Soybean,Urea,No,West,2.926
653.2,33.76,56.02,Sandy,Cotton,Urea,Yes,North,1.915
429.67,22.76,48.29,Loamy,Cotton,NPK,Yes,North,2.792
835.98,19.87,57.81,Loamy,Rice,DAP,Yes,West,6.391
533.54,26.89,42.83,Clay,Cotton,Compost,Yes,West,2.285
448.9,19.88,57.71,Clay,Rice,Urea,Yes,West,4.788
337.19,24.94,42.55,Peaty,Wheat,Compost,Yes,North,3.331
913.66,16.11,56.21,Loamy,Sugarcane,Compost,No,South,62.233
915.38,27.075,61.45,Peaty,Sugarcane,Compost,Yes,East,65.868
1027.19,33.11,62.24,Silty,Sugarcane,Compost,No,East,70.739
384.6,29.02,60.3,Peaty,Cotton,Compost,Yes,North,2.168
623.05,35.99,62.94,Sandy,Wheat,DAP,No,North,2.369
927.61,26.84,54.61,Peaty,Cotton,Urea,Yes,South,2.354
581.38,26.65,67.45,Clay,Cotton,Urea,No,West,2.04
643.73,28.08,60.47,Silty,Wheat,DAP,No,North,3.534
786.26,44.94,56.77,Unknown,Wheat,DAP,Yes,Central,1.865
663.81,32.26,47.97,Peaty,Wheat,Compost,Yes,West,3.357
683.09,22.8,53.15,Silty,Wheat,DAP,Yes,North,3.564
866.57,29.04,42.0,Silty,Sugarcane,NPK,No,Central,83.055
781.72,27.76,59.98,Sandy,Maize,NPK,Yes,South,6.344
869.87,30.6,46.85,Peaty,Maize,DAP,Yes,Central,6.343
415.14,36.37,52.21,Silty,Wheat,Urea,Yes,North,3.072
1115.73,29.94,58.48,Silty,Maize,Urea,No,East,5.512
692.08,25.15,54.86,Loamy,Maize,Compost,No,North,6.588
973.8,36.32,54.55,Silty,Wheat,DAP,Yes,East,2.883
892.01,20.47,52.07,Loamy,Maize,Urea,Yes,South,7.168
855.15,25.64,62.98,Peaty,Cotton,NPK,No,South,2.109
526.34,31.51,45.52,Peaty,Rice,Urea,No,West,4.149
554.33,23.05,43.87,Peaty,Rice,Compost,Yes,West,4.454
1074.49,26.74,53.09,Clay,Wheat,Compost,Yes,East,2.843
1128.35,23.49,69.41,Peaty,Sugarcane,NPK,No,East,64.833
897.83,26.81,49.0,Silty,Wheat,Urea,Yes,South,3.947
548.48,23.5,51.01,Sandy,Sugarcane,NPK,Yes,Central,81.705
828.06,27.4,74.26,Loamy,Rice,NPK,No,East,6.841
984.08,25.35,54.17,Clay,Wheat,Urea,Yes,East,3.509
620.86,33.64,46.17,Peaty,Soybean,Urea,No,Central,2.429
827.93,28.93,65.25,Peaty,Cotton,DAP,Yes,West,2.178
544.66,30.69,41.4,Sandy,Maize,NPK,No,West,6.226
1089.61,27.72,70.47,Sandy,Sugarcane,NPK,Yes,East,75.625
556.91,24.83,48.09,Clay,Soybean,Compost,No,West,2.974
607.48,28.67,59.37,Loamy,Maize,NPK,Yes,West,8.563
675.82,28.01,57.02,Peaty,Maize,Urea,Yes,West,6.347
977.94,14.89,64.16,Clay,Wheat,Urea,Yes,South,2.945
613.38,27.17,48.73,Silty,Maize,None,No,North,5.728
916.02,30.36,55.18,Silty,Cotton,NPK,Yes,East,2.336
1015.05,23.42,56.13,Clay,Soybean,Compost,Yes,East,2.796
843.78,31.34,67.51,Peaty,Maize,NPK,Yes,South,6.65
335.31,28.78,46.75,Clay,Wheat,None,Yes,North,1.996
